W, [2018-07-11T09:15:11.512881 #3074]  WARN -- default-centos-72: Deprecated configuration detected:
require_chef_omnibus
Run 'kitchen doctor' for details.

I, [2018-07-11T09:16:14.840027 #3074]  INFO -- default-centos-72:     - /tmp/kitchen/cache/cookbooks/lcd_web/resources/hello.rb:18:in `block (2 levels) in class_from_file'
I, [2018-07-11T09:16:14.841187 #3074]  INFO -- default-centos-72:    See https://docs.chef.io/deprecations_namespace_collisions.html for further details.
I, [2018-07-11T09:16:14.841842 #3074]  INFO -- default-centos-72: 
I, [2018-07-11T09:16:14.842452 #3074]  INFO -- default-centos-72: Chef Client finished, 8/13 resources updated in 38 seconds
I, [2018-07-11T09:16:14.862068 #3074]  INFO -- default-centos-72: Downloading files from <default-centos-72>
I, [2018-07-11T09:16:14.863077 #3074]  INFO -- default-centos-72: Finished converging <default-centos-72> (0m57.08s).
I, [2018-07-11T09:16:14.863186 #3074]  INFO -- default-centos-72: -----> Setting up <default-centos-72>...
I, [2018-07-11T09:16:14.863634 #3074]  INFO -- default-centos-72: Finished setting up <default-centos-72> (0m0.00s).
I, [2018-07-11T09:16:14.864091 #3074]  INFO -- default-centos-72: -----> Verifying <default-centos-72>...
I, [2018-07-11T09:16:16.850287 #3074]  INFO -- default-centos-72: Loaded tests from {:path=>".home.drc.chef-repo.cookbooks.lcd_web.test.integration.default"} 
I, [2018-07-11T09:16:16.850867 #3074]  INFO -- default-centos-72: Loaded tests from {:path=>".home.drc.chef-repo.cookbooks.lcd_web.test.smoke.default"} 
I, [2018-07-11T09:16:18.855488 #3074]  INFO -- default-centos-72: Finished verifying <default-centos-72> (0m3.99s).
I, [2018-07-11T09:16:18.856161 #3074]  INFO -- default-centos-72: -----> Destroying <default-centos-72>...
I, [2018-07-11T09:16:18.939733 #3074]  INFO -- default-centos-72: UID                 PID                 PPID                C                   STIME               TTY                 TIME                CMD
I, [2018-07-11T09:16:18.940693 #3074]  INFO -- default-centos-72: root                3162                3148                0                   09:15               ?                   00:00:00            /usr/lib/systemd/systemd
I, [2018-07-11T09:16:18.941591 #3074]  INFO -- default-centos-72: root                3214                3162                0                   09:15               ?                   00:00:00            /usr/lib/systemd/systemd-journald
I, [2018-07-11T09:16:18.942135 #3074]  INFO -- default-centos-72: root                3252                3162                0                   09:15               ?                   00:00:00            /usr/lib/systemd/systemd-udevd
I, [2018-07-11T09:16:18.942183 #3074]  INFO -- default-centos-72: 81                  3263                3162                0                   09:15               ?                   00:00:00            /usr/bin/dbus-daemon --system --address=systemd: --nofork --nopidfile --systemd-activation
I, [2018-07-11T09:16:18.942198 #3074]  INFO -- default-centos-72: root                3312                3162                0                   09:15               ?                   00:00:00            /usr/lib/systemd/systemd-logind
I, [2018-07-11T09:16:18.942210 #3074]  INFO -- default-centos-72: root                3314                3162                0                   09:15               tty1                00:00:00            /sbin/agetty --noclear tty1 linux
I, [2018-07-11T09:16:18.942221 #3074]  INFO -- default-centos-72: root                3444                3162                0                   09:15               ?                   00:00:00            /usr/sbin/sshd -D
I, [2018-07-11T09:16:18.942231 #3074]  INFO -- default-centos-72: root                3481                3444                0                   09:15               ?                   00:00:00            sshd: kitchen [priv]
I, [2018-07-11T09:16:18.942241 #3074]  INFO -- default-centos-72: drc                 3483                3481                0                   09:15               ?                   00:00:00            sshd: kitchen@notty
I, [2018-07-11T09:16:18.942256 #3074]  INFO -- default-centos-72: root                4041                3162                0                   09:16               ?                   00:00:00            /usr/sbin/httpd -DFOREGROUND
I, [2018-07-11T09:16:18.942270 #3074]  INFO -- default-centos-72: 48                  4043                4041                0                   09:16               ?                   00:00:00            /usr/sbin/httpd -DFOREGROUND
I, [2018-07-11T09:16:18.942281 #3074]  INFO -- default-centos-72: 48                  4044                4041                0                   09:16               ?                   00:00:00            /usr/sbin/httpd -DFOREGROUND
I, [2018-07-11T09:16:18.943329 #3074]  INFO -- default-centos-72: 48                  4045                4041                0                   09:16               ?                   00:00:00            /usr/sbin/httpd -DFOREGROUND
I, [2018-07-11T09:16:18.943350 #3074]  INFO -- default-centos-72: 48                  4046                4041                0                   09:16               ?                   00:00:00            /usr/sbin/httpd -DFOREGROUND
I, [2018-07-11T09:16:18.943363 #3074]  INFO -- default-centos-72: 48                  4047                4041                0                   09:16               ?                   00:00:00            /usr/sbin/httpd -DFOREGROUND
I, [2018-07-11T09:16:18.943373 #3074]  INFO -- default-centos-72: root                4072                3444                1                   09:16               ?                   00:00:00            sshd: kitchen [priv]
I, [2018-07-11T09:16:18.943387 #3074]  INFO -- default-centos-72: drc                 4075                4072                0                   09:16               ?                   00:00:00            sshd: kitchen@notty
I, [2018-07-11T09:16:19.283399 #3074]  INFO -- default-centos-72: 67d41d46de705474277103a635e6dbc3460f0b2e038e32f39abbf4b3d88ea271
I, [2018-07-11T09:16:20.103545 #3074]  INFO -- default-centos-72: 67d41d46de705474277103a635e6dbc3460f0b2e038e32f39abbf4b3d88ea271
I, [2018-07-11T09:16:20.125098 #3074]  INFO -- default-centos-72: Finished destroying <default-centos-72> (0m1.27s).
I, [2018-07-11T09:16:20.125254 #3074]  INFO -- default-centos-72: Finished testing <default-centos-72> (1m7.47s).
